,AUC,F2,G2
lstm_ICBEB_form,0.7927649021148682,0.49864472200537774,0.2815533980582524
lstm_bidir_ICBEB_form,0.8952609300613403,0.7472735240753977,0.5120967741935484
lstm_ptbxl_form,0.804124116897583,0.041218637992831535,0.0
lstm_bidir_ptbxl_form,0.8029806017875671,0.041218637992831535,0.0
lstm_finetuning_form,0.691743791103363,0.2794022092267706,0.0
